mode,status,fail_date,years,min_mmr,min_mmr_date,min_runway,max_debt,total_interest,final_E,final_A,min_wQ,avg_wQ,cum_living,start,E_10y,y_wQ_lt_05,beta
A,ok,,26.96,,,25.64,0.0,0.0,6.2737,6.2737,0.443,0.706,0.54,1999-09-01,0.785,0.2,0.7
B,ok,,26.96,3.268,2009-03-09,28.18,0.7516,0.2116,9.1063,9.8578,0.443,0.706,0.54,1999-09-01,0.7732,0.2,0.7
C1,ok,,26.96,1.602,2002-07-01,14.36,0.7516,0.2116,9.0956,9.8472,0.443,0.706,0.54,1999-09-01,0.7732,0.2,0.7
C2,ok,,26.96,1.61,2009-03-09,26.76,0.331,0.071,5.6012,5.9322,0.368,0.604,0.54,1999-09-01,0.7815,4.4,0.7
A,ok,,26.96,,,29.33,0.0,0.0,5.3294,5.3294,0.338,0.608,0.54,1999-09-01,0.8593,0.9,0.6
B,ok,,26.96,3.691,2009-03-09,32.08,0.7516,0.2116,7.4571,8.2087,0.338,0.608,0.54,1999-09-01,0.8499,0.9,0.6
C1,ok,,26.96,1.602,2002-07-01,19.16,0.6954,0.1984,7.4438,7.7559,0.338,0.61,0.54,1999-09-01,0.8499,0.9,0.6
C2,ok,,26.96,1.61,2009-03-09,28.93,0.331,0.071,5.2251,5.5561,0.338,0.557,0.54,1999-09-01,0.8503,4.9,0.6
A,ok,,26.79,,,23.49,0.0,0.0,5.2576,5.2576,0.444,0.706,0.54,1999-11-03,0.7057,0.1,0.7
B,ok,,26.79,2.816,2008-11-20,25.08,0.749,0.209,8.0958,8.8448,0.444,0.706,0.54,1999-11-03,0.706,0.1,0.7
C1,ok,,26.79,1.601,2008-10-23,11.81,0.749,0.209,7.8242,8.5732,0.444,0.702,0.54,1999-11-03,0.6799,0.1,0.7
C2,ok,,26.79,1.6,2001-03-12,30.58,0.2953,0.0553,5.8881,6.1834,0.255,0.595,0.54,1999-11-03,0.8728,5.3,0.7
A,ok,,26.79,,,26.91,0.0,0.0,4.5223,4.5223,0.339,0.607,0.54,1999-11-03,0.7748,1.2,0.6
B,ok,,26.79,3.185,2009-03-09,28.7,0.749,0.209,6.6672,7.4162,0.339,0.607,0.54,1999-11-03,0.7768,1.2,0.6
C1,ok,,26.79,1.601,2008-10-23,15.42,0.5819,0.1518,6.3439,6.3118,0.339,0.611,0.54,1999-11-03,0.7768,1.2,0.6
C2,ok,,26.79,1.6,2001-03-12,29.95,0.2953,0.0553,4.9177,5.213,0.255,0.552,0.54,1999-11-03,0.8521,5.3,0.6
A,ok,,26.62,,,17.28,0.0,0.0,3.469,3.469,0.514,0.702,0.54,2000-01-05,0.5301,0.0,0.7
B,ok,,26.62,2.206,2009-03-09,19.81,0.7463,0.2063,6.2449,6.9912,0.514,0.702,0.54,2000-01-05,0.5343,0.0,0.7
C1,ok,,26.62,1.603,2008-10-24,4.29,0.6107,0.1764,5.7261,5.7475,0.514,0.7,0.54,2000-01-05,0.5007,0.0,0.7
C2,ok,,26.62,1.602,2002-09-30,20.44,0.2941,0.0541,3.6704,3.9645,0.312,0.591,0.54,2000-01-05,0.6052,7.0,0.7
A,ok,,26.62,,,20.86,0.0,0.0,3.1859,3.1859,0.405,0.604,0.54,2000-01-05,0.6064,1.3,0.6
B,ok,,26.62,2.564,2009-03-09,23.31,0.7463,0.2063,5.2922,6.0385,0.405,0.604,0.54,2000-01-05,0.6119,1.3,0.6
C1,ok,,26.62,1.603,2008-10-24,8.46,0.4972,0.1227,4.7,4.6648,0.405,0.606,0.54,2000-01-05,0.5915,1.3,0.6
C2,ok,,26.62,1.602,2002-09-30,21.7,0.2941,0.0541,3.3942,3.6883,0.312,0.548,0.54,2000-01-05,0.6398,7.0,0.6
A,ok,,26.44,,,15.22,0.0,0.0,2.6629,2.6629,0.49,0.707,0.54,2000-03-08,0.451,0.0,0.7
B,ok,,26.44,2.145,2009-03-20,17.64,0.7437,0.2037,5.4913,6.235,0.49,0.707,0.54,2000-03-08,0.47,0.0,0.7
C1,ok,,26.44,1.609,2000-11-21,5.72,0.4271,0.1456,4.644,4.8083,0.49,0.706,0.54,2000-03-08,0.4332,0.0,0.7
C2,ok,,26.44,1.606,2002-07-01,16.53,0.2913,0.0513,2.5335,2.8248,0.35,0.596,0.54,2000-03-08,0.48,4.8,0.7
A,ok,,26.44,,,19.05,0.0,0.0,2.639,2.639,0.382,0.609,0.54,2000-03-08,0.5395,0.9,0.6
B,ok,,26.44,2.519,2009-03-20,21.26,0.7437,0.2037,4.7796,5.5233,0.382,0.609,0.54,2000-03-08,0.5572,0.9,0.6
C1,ok,,26.44,1.609,2000-11-21,5.98,0.4052,0.1109,3.9286,3.8987,0.382,0.612,0.54,2000-03-08,0.5262,0.9,0.6
C2,ok,,26.44,1.606,2002-07-01,19.01,0.2913,0.0513,2.6665,2.9578,0.35,0.553,0.54,2000-03-08,0.5495,5.1,0.6
A,ok,,26.27,,,18.08,0.0,0.0,3.3627,3.3627,0.495,0.707,0.54,2000-05-10,0.5256,0.0,0.7
B,ok,,26.27,2.516,2009-03-09,19.82,0.7411,0.2011,6.0608,6.8019,0.495,0.707,0.54,2000-05-10,0.5346,0.0,0.7
C1,ok,,26.27,1.601,2002-08-05,6.41,0.5495,0.1358,5.4464,5.4817,0.495,0.707,0.54,2000-05-10,0.517,0.0,0.7
C2,ok,,26.27,1.609,2009-03-09,20.35,0.2963,0.0563,3.2911,3.5873,0.338,0.594,0.54,2000-05-10,0.5478,5.2,0.7
A,ok,,26.27,,,21.32,0.0,0.0,3.0491,3.0491,0.386,0.609,0.54,2000-05-10,0.597,0.9,0.6
B,ok,,26.27,2.914,2009-03-09,23.22,0.7411,0.2011,5.0765,5.8177,0.386,0.609,0.54,2000-05-10,0.6051,0.9,0.6
C1,ok,,26.27,1.601,2002-08-05,10.2,0.4866,0.1208,4.5114,4.4085,0.386,0.614,0.54,2000-05-10,0.6049,0.9,0.6
C2,ok,,26.27,1.609,2009-03-09,22.06,0.2963,0.0563,3.1565,3.4528,0.338,0.552,0.54,2000-05-10,0.6042,5.4,0.6
A,ok,,26.1,,,17.39,0.0,0.0,3.3012,3.3012,0.446,0.703,0.54,2000-07-12,0.5071,0.1,0.7
B,ok,,26.1,2.498,2009-03-09,19.25,0.7385,0.1985,5.9634,6.7019,0.446,0.703,0.54,2000-07-12,0.5127,0.1,0.7
C1,ok,,26.1,1.6,2001-09-21,5.48,0.6027,0.1696,5.7904,5.846,0.446,0.704,0.54,2000-07-12,0.5084,0.1,0.7
C2,ok,,26.1,1.601,2002-07-23,18.97,0.3169,0.0569,3.2411,3.558,0.35,0.597,0.54,2000-07-12,0.5241,4.9,0.7
A,ok,,26.1,,,20.82,0.0,0.0,3.0738,3.0738,0.341,0.604,0.54,2000-07-12,0.5893,1.0,0.6
B,ok,,26.1,2.936,2009-03-09,22.83,0.7385,0.1985,5.0692,5.8077,0.341,0.604,0.54,2000-07-12,0.5942,1.0,0.6
C1,ok,,26.1,1.6,2001-09-21,9.76,0.4559,0.1062,4.5606,4.5663,0.341,0.609,0.54,2000-07-12,0.5942,1.0,0.6
C2,ok,,26.1,1.601,2002-07-23,21.01,0.3169,0.0569,3.1696,3.4865,0.341,0.551,0.54,2000-07-12,0.5928,5.4,0.6
A,ok,,25.92,,,18.63,0.0,0.0,3.9229,3.9229,0.427,0.706,0.52,2000-09-13,0.6015,0.2,0.7
B,ok,,25.92,2.721,2009-03-09,20.76,0.7159,0.1959,6.6536,7.3695,0.427,0.706,0.52,2000-09-13,0.6277,0.2,0.7
C1,ok,,25.92,1.621,2009-03-09,11.05,0.6608,0.1861,6.6339,7.0252,0.427,0.707,0.52,2000-09-13,0.6277,0.2,0.7
C2,ok,,25.92,1.602,2002-09-23,18.72,0.274,0.054,3.1021,3.3761,0.384,0.592,0.52,2000-09-13,0.5542,4.2,0.7
A,ok,,25.92,,,22.25,0.0,0.0,3.6122,3.6122,0.324,0.608,0.52,2000-09-13,0.6898,0.7,0.6
B,ok,,25.92,3.188,2009-03-09,24.5,0.7159,0.1959,5.6586,6.3745,0.324,0.608,0.52,2000-09-13,0.7122,0.7,0.6
C1,ok,,25.92,1.621,2009-03-09,15.75,0.4866,0.1189,5.0053,4.7642,0.324,0.614,0.52,2000-09-13,0.7122,0.7,0.6
C2,ok,,25.92,1.602,2002-09-23,21.65,0.274,0.054,3.3403,3.6143,0.324,0.551,0.52,2000-09-13,0.6587,4.7,0.6
A,ok,,25.75,,,20.86,0.0,0.0,4.4254,4.4254,0.455,0.702,0.52,2000-11-15,0.6874,0.1,0.7
B,ok,,25.75,2.787,2009-03-09,22.23,0.7134,0.1934,7.1277,7.8411,0.455,0.702,0.52,2000-11-15,0.7258,0.1,0.7
C1,ok,,25.75,1.606,2001-02-28,10.16,0.6608,0.1855,6.7829,7.1947,0.455,0.699,0.52,2000-11-15,0.686,0.1,0.7
C2,ok,,25.75,1.606,2001-02-28,22.13,0.3216,0.0616,4.2023,4.5239,0.339,0.603,0.52,2000-11-15,0.6722,4.7,0.7
A,ok,,25.75,,,24.49,0.0,0.0,3.9015,3.9015,0.35,0.604,0.52,2000-11-15,0.7587,1.3,0.6
B,ok,,25.75,3.185,2009-03-09,25.73,0.7134,0.1934,5.9396,6.653,0.35,0.604,0.52,2000-11-15,0.7935,1.3,0.6
C1,ok,,25.75,1.606,2001-02-28,13.88,0.5178,0.1205,5.3719,5.1307,0.35,0.609,0.52,2000-11-15,0.7935,1.2,0.6
C2,ok,,25.75,1.606,2001-02-28,24.58,0.3216,0.0616,3.9609,4.2825,0.339,0.554,0.52,2000-11-15,0.7453,5.3,0.6
A,ok,,25.58,,,23.71,0.0,0.0,5.3325,5.3325,0.504,0.706,0.52,2001-01-17,0.8507,0.0,0.7
B,ok,,25.58,3.14,2009-03-09,24.87,0.7109,0.1909,7.9985,8.7094,0.504,0.706,0.52,2001-01-17,0.9081,0.0,0.7
C1,ok,,25.58,1.605,2001-03-29,13.11,0.7109,0.1909,7.7975,8.5084,0.504,0.703,0.52,2001-01-17,0.8818,0.0,0.7
C2,ok,,25.58,1.605,2001-03-29,25.95,0.3762,0.0762,5.4649,5.8411,0.34,0.621,0.52,2001-01-17,0.8252,4.1,0.7
A,ok,,25.58,,,26.88,0.0,0.0,4.5114,4.5114,0.395,0.607,0.52,2001-01-17,0.9033,1.2,0.6
B,ok,,25.58,3.513,2009-03-09,28.15,0.7109,0.1909,6.5148,7.2257,0.395,0.607,0.52,2001-01-17,0.9538,1.2,0.6
C1,ok,,25.58,1.605,2001-03-29,16.6,0.5495,0.1575,6.3686,6.2229,0.395,0.61,0.52,2001-01-17,0.9538,1.2,0.6
C2,ok,,25.58,1.605,2001-03-29,27.52,0.3762,0.0762,4.8109,5.1871,0.34,0.565,0.52,2001-01-17,0.885,4.7,0.6
A,ok,,25.41,,,30.88,0.0,0.0,7.9041,7.9041,0.565,0.711,0.52,2001-03-21,1.1745,0.0,0.7
B,ok,,25.41,4.51,2009-03-30,32.22,0.7084,0.1884,10.6328,11.3411,0.565,0.711,0.52,2001-03-21,1.2389,0.0,0.7
C1,ok,,25.41,1.608,2002-08-02,22.95,0.7084,0.1884,10.6328,11.3411,0.565,0.711,0.52,2001-03-21,1.2389,0.0,0.7
C2,ok,,25.41,1.608,2002-06-21,33.62,0.4253,0.0853,8.3931,8.8184,0.358,0.642,0.52,2001-03-21,1.1193,2.9,0.7
A,ok,,25.41,,,33.36,0.0,0.0,6.2264,6.2264,0.455,0.614,0.52,2001-03-21,1.1698,0.5,0.6
B,ok,,25.41,4.73,2009-03-30,34.8,0.7084,0.1884,8.2805,8.9888,0.455,0.614,0.52,2001-03-21,1.2259,0.5,0.6
C1,ok,,25.41,1.608,2002-08-02,25.7,0.6876,0.1876,8.2725,8.9601,0.455,0.614,0.52,2001-03-21,1.2259,0.5,0.6
C2,ok,,25.41,1.608,2002-06-21,34.16,0.4253,0.0853,6.7608,7.1861,0.358,0.579,0.52,2001-03-21,1.14,2.9,0.6
A,ok,,25.23,,,26.19,0.0,0.0,6.1436,6.1436,0.545,0.706,0.52,2001-05-23,0.9822,0.0,0.7
B,ok,,25.23,4.007,2009-03-09,27.52,0.7058,0.1858,8.6648,9.3706,0.545,0.706,0.52,2001-05-23,1.0374,0.0,0.7
C1,ok,,25.23,1.608,2001-09-19,18.53,0.7058,0.1858,8.6648,9.3706,0.545,0.706,0.52,2001-05-23,1.0374,0.0,0.7
C2,ok,,25.23,1.605,2008-10-23,22.72,0.4847,0.1047,6.1686,6.6532,0.395,0.651,0.52,2001-05-23,0.8271,2.2,0.7
A,ok,,25.23,,,29.02,0.0,0.0,4.9619,4.9619,0.435,0.607,0.52,2001-05-23,1.0019,0.7,0.6
B,ok,,25.23,4.383,2009-03-09,30.44,0.7058,0.1858,6.8477,7.5535,0.435,0.607,0.52,2001-05-23,1.0489,0.7,0.6
C1,ok,,25.23,1.608,2001-09-19,21.88,0.5937,0.156,6.7515,6.5711,0.435,0.61,0.52,2001-05-23,1.0489,0.7,0.6
C2,ok,,25.23,1.605,2008-10-23,26.83,0.4847,0.1047,5.3746,5.8593,0.395,0.58,0.52,2001-05-23,0.921,3.0,0.6
A,ok,,25.06,,,30.62,0.0,0.0,7.87,7.87,0.557,0.708,0.52,2001-07-25,1.2039,0.0,0.7
B,ok,,25.06,4.766,2009-03-09,32.15,0.7033,0.1833,10.4221,11.1255,0.557,0.708,0.52,2001-07-25,1.2649,0.0,0.7
C1,ok,,25.06,1.605,2002-06-25,24.5,0.7033,0.1833,10.4221,11.1255,0.557,0.708,0.52,2001-07-25,1.2649,0.0,0.7
C2,ok,,25.06,1.605,2002-06-25,25.09,0.5459,0.1259,7.954,8.4999,0.456,0.669,0.52,2001-07-25,1.0215,0.6,0.7
A,ok,,25.06,,,33.08,0.0,0.0,6.1573,6.1573,0.447,0.609,0.52,2001-07-25,1.1939,0.4,0.6
B,ok,,25.06,5.097,2009-03-09,34.68,0.7033,0.1833,8.059,8.7623,0.447,0.609,0.52,2001-07-25,1.2453,0.4,0.6
C1,ok,,25.06,1.605,2002-06-25,27.44,0.6484,0.1697,8.0643,7.555,0.447,0.611,0.52,2001-07-25,1.2453,0.4,0.6
C2,ok,,25.06,1.605,2002-06-25,29.5,0.5459,0.1259,6.7242,7.2701,0.447,0.59,0.52,2001-07-25,1.106,1.0,0.6
A,ok,,24.9,,,36.9,0.0,0.0,10.3334,10.3334,0.611,0.715,0.5,2001-09-26,1.4798,0.0,0.7
B,ok,,24.9,5.741,2009-03-09,38.64,0.6811,0.1811,12.9748,13.6559,0.611,0.715,0.5,2001-09-26,1.542,0.0,0.7
C1,ok,,24.9,1.678,2009-03-09,34.84,0.6811,0.1811,12.9748,13.6559,0.611,0.715,0.5,2001-09-26,1.542,0.0,0.7
C2,ok,,24.9,1.62,2008-11-18,36.54,0.4792,0.1192,9.0827,9.5619,0.403,0.66,0.5,2001-09-26,1.2657,1.2,0.7
A,ok,,24.9,,,38.54,0.0,0.0,7.7904,7.7904,0.503,0.617,0.5,2001-09-26,1.4201,0.0,0.6
B,ok,,24.9,5.944,2009-03-09,40.32,0.6811,0.1811,9.7557,10.4368,0.503,0.617,0.5,2001-09-26,1.4725,0.0,0.6
C1,ok,,24.9,1.678,2009-03-09,36.52,0.6811,0.1811,9.7557,10.4368,0.503,0.617,0.5,2001-09-26,1.4725,0.0,0.6
C2,ok,,24.9,1.62,2008-11-18,37.94,0.4792,0.1192,7.8102,8.2894,0.403,0.589,0.5,2001-09-26,1.3192,1.2,0.6
A,ok,,24.73,,,31.87,0.0,0.0,8.4234,8.4234,0.534,0.708,0.5,2001-11-28,1.2024,0.0,0.7
B,ok,,24.73,4.712,2009-03-09,32.53,0.6787,0.1787,11.0423,11.721,0.534,0.708,0.5,2001-11-28,1.2571,0.0,0.7
C1,ok,,24.73,1.6,2008-10-27,25.65,0.6787,0.1787,11.0423,11.721,0.534,0.708,0.5,2001-11-28,1.2571,0.0,0.7
C2,ok,,24.73,1.6,2008-10-22,26.42,0.5312,0.1312,7.7867,8.3179,0.459,0.669,0.5,2001-11-28,0.9883,1.1,0.7
A,ok,,24.73,,,34.38,0.0,0.0,6.6375,6.6375,0.424,0.61,0.5,2001-11-28,1.2035,0.6,0.6
B,ok,,24.73,5.023,2009-03-09,35.1,0.6787,0.1787,8.612,9.2907,0.424,0.61,0.5,2001-11-28,1.2526,0.6,0.6
C1,ok,,24.73,1.6,2008-10-27,28.41,0.6787,0.1787,8.612,9.2907,0.424,0.61,0.5,2001-11-28,1.2526,0.6,0.6
C2,ok,,24.73,1.6,2008-10-22,29.98,0.5312,0.1312,6.944,7.4752,0.424,0.59,0.5,2001-11-28,1.0981,1.7,0.6
A,ok,,24.56,,,33.06,0.0,0.0,8.6389,8.6389,0.547,0.709,0.5,2002-01-30,1.3498,0.0,0.7
B,ok,,24.56,4.894,2009-03-09,33.73,0.6763,0.1763,11.1541,11.8303,0.547,0.709,0.5,2002-01-30,1.4238,0.0,0.7
C1,ok,,24.56,1.613,2002-07-10,26.88,0.6763,0.1763,11.1541,11.8303,0.547,0.709,0.5,2002-01-30,1.4238,0.0,0.7
C2,ok,,24.56,1.612,2008-11-18,26.01,0.5839,0.1439,8.4722,9.0561,0.466,0.686,0.5,2002-01-30,1.1036,0.2,0.7
A,ok,,24.56,,,35.45,0.0,0.0,6.7364,6.7364,0.437,0.611,0.5,2002-01-30,1.327,0.7,0.6
B,ok,,24.56,5.19,2009-03-09,36.17,0.6763,0.1763,8.6181,9.2944,0.437,0.611,0.5,2002-01-30,1.3908,0.7,0.6
C1,ok,,24.56,1.613,2002-07-10,29.49,0.6763,0.1763,8.6181,9.2944,0.437,0.611,0.5,2002-01-30,1.3908,0.7,0.6
C2,ok,,24.56,1.612,2008-11-18,29.48,0.5839,0.1439,7.2936,7.8775,0.437,0.599,0.5,2002-01-30,1.2115,0.9,0.6
A,ok,,24.39,,,34.45,0.0,0.0,9.0821,9.0821,0.563,0.71,0.5,2002-04-03,1.5267,0.0,0.7
B,ok,,24.39,5.794,2009-04-07,35.16,0.6739,0.1739,11.5499,12.2238,0.563,0.71,0.5,2002-04-03,1.6211,0.0,0.7
C1,ok,,24.39,1.604,2002-08-05,29.81,0.6739,0.1739,11.5499,12.2238,0.563,0.71,0.5,2002-04-03,1.6211,0.0,0.7
C2,ok,,24.39,1.604,2002-08-05,28.49,0.5818,0.1418,9.1681,9.7499,0.465,0.686,0.5,2002-04-03,1.3141,0.5,0.7
A,ok,,24.39,,,36.6,0.0,0.0,6.9818,6.9818,0.453,0.612,0.5,2002-04-03,1.4624,0.6,0.6
B,ok,,24.39,5.953,2009-04-07,37.35,0.6739,0.1739,8.834,9.5079,0.453,0.612,0.5,2002-04-03,1.5424,0.6,0.6
C1,ok,,24.39,1.604,2002-08-05,32.1,0.6739,0.1739,8.834,9.5079,0.453,0.612,0.5,2002-04-03,1.5424,0.6,0.6
C2,ok,,24.39,1.604,2002-08-05,31.9,0.5818,0.1418,7.661,8.2428,0.453,0.6,0.5,2002-04-03,1.3743,1.0,0.6
A,ok,,24.22,,,38.28,0.0,0.0,10.308,10.308,0.547,0.71,0.5,2002-06-05,1.5854,0.0,0.7
B,ok,,24.22,6.58,2009-03-09,39.05,0.6714,0.1714,12.6959,13.3673,0.547,0.71,0.5,2002-06-05,1.6488,0.0,0.7
C1,ok,,24.22,1.624,2008-11-18,35.44,0.6714,0.1714,12.6959,13.3673,0.547,0.71,0.5,2002-06-05,1.6488,0.0,0.7
C2,ok,,24.22,1.624,2008-11-18,35.44,0.5903,0.1503,10.8756,11.4659,0.473,0.685,0.5,2002-06-05,1.4996,0.6,0.7
A,ok,,24.22,,,39.87,0.0,0.0,7.6965,7.6965,0.437,0.611,0.5,2002-06-05,1.495,0.5,0.6
B,ok,,24.22,6.777,2009-03-09,40.68,0.6714,0.1714,9.4825,10.1539,0.437,0.611,0.5,2002-06-05,1.5482,0.5,0.6
C1,ok,,24.22,1.624,2008-11-18,36.97,0.6714,0.1714,9.4825,10.1539,0.437,0.611,0.5,2002-06-05,1.5482,0.5,0.6
C2,ok,,24.22,1.624,2008-11-18,36.97,0.5903,0.1503,8.642,9.2323,0.437,0.599,0.5,2002-06-05,1.4711,1.1,0.6
A,ok,,24.04,,,45.36,0.0,0.0,12.9741,12.9741,0.556,0.712,0.5,2002-08-07,2.1021,0.0,0.7
B,ok,,24.04,8.008,2009-03-09,46.27,0.669,0.169,15.3666,16.0356,0.556,0.712,0.5,2002-08-07,2.1938,0.0,0.7
C1,ok,,24.04,1.606,2009-03-09,44.39,0.669,0.169,15.3666,16.0356,0.556,0.712,0.5,2002-08-07,2.1938,0.0,0.7
C2,ok,,24.04,1.606,2009-03-09,44.39,0.582,0.142,13.4997,14.0817,0.482,0.687,0.5,2002-08-07,1.9615,0.2,0.7
A,ok,,24.04,,,45.91,0.0,0.0,9.4077,9.4077,0.446,0.614,0.5,2002-08-07,1.9105,0.4,0.6
B,ok,,24.04,8.042,2009-03-09,46.84,0.669,0.169,11.1859,11.8549,0.446,0.614,0.5,2002-08-07,1.9868,0.4,0.6
C1,ok,,24.04,1.606,2009-03-09,44.95,0.669,0.169,11.1859,11.8549,0.446,0.614,0.5,2002-08-07,1.9868,0.4,0.6
C2,ok,,24.04,1.606,2009-03-09,44.95,0.582,0.142,10.3156,10.8976,0.446,0.601,0.5,2002-08-07,1.871,0.6,0.6
A,ok,,23.87,,,48.76,0.0,0.0,15.2874,15.2874,0.579,0.716,0.48,2002-10-09,2.4379,0.0,0.7
B,ok,,23.87,8.741,2009-03-09,49.76,0.6467,0.1667,17.7724,18.4191,0.579,0.716,0.48,2002-10-09,2.54,0.0,0.7
C1,ok,,23.87,1.771,2009-03-09,47.76,0.6467,0.1667,17.7724,18.4191,0.579,0.716,0.48,2002-10-09,2.54,0.0,0.7
C2,ok,,23.87,1.618,2009-03-09,47.76,0.565,0.145,14.9956,15.5606,0.449,0.692,0.48,2002-10-09,2.2934,0.5,0.7
A,ok,,23.87,,,48.79,0.0,0.0,11.0784,11.0784,0.469,0.619,0.48,2002-10-09,2.2039,0.0,0.6
B,ok,,23.87,8.703,2009-03-09,49.79,0.6467,0.1667,12.9362,13.5829,0.469,0.619,0.48,2002-10-09,2.2903,0.0,0.6
C1,ok,,23.87,1.771,2009-03-09,47.79,0.6467,0.1667,12.9362,13.5829,0.469,0.619,0.48,2002-10-09,2.2903,0.0,0.6
C2,ok,,23.87,1.618,2009-03-09,47.79,0.565,0.145,11.7276,12.2926,0.449,0.606,0.48,2002-10-09,2.1668,0.6,0.6
A,ok,,23.69,,,46.65,0.0,0.0,12.5893,12.5893,0.533,0.711,0.48,2002-12-11,1.9648,0.0,0.7
B,ok,,23.69,7.294,2009-03-09,47.6,0.6443,0.1643,14.986,15.6304,0.533,0.711,0.48,2002-12-11,2.0455,0.0,0.7
C1,ok,,23.69,1.621,2008-11-18,41.79,0.6443,0.1643,14.986,15.6304,0.533,0.711,0.48,2002-12-11,2.0455,0.0,0.7
C2,ok,,23.69,1.621,2008-11-18,43.39,0.563,0.143,12.004,12.567,0.464,0.687,0.48,2002-12-11,1.7897,0.4,0.7
A,ok,,23.69,,,47.01,0.0,0.0,9.3435,9.3435,0.423,0.614,0.48,2002-12-11,1.822,0.2,0.6
B,ok,,23.69,7.407,2009-03-09,47.97,0.6443,0.1643,11.1509,11.7952,0.423,0.614,0.48,2002-12-11,1.8913,0.2,0.6
C1,ok,,23.69,1.621,2008-11-18,42.65,0.6443,0.1643,11.1509,11.7952,0.423,0.614,0.48,2002-12-11,1.8913,0.2,0.6
C2,ok,,23.69,1.621,2008-11-18,43.42,0.563,0.143,9.8207,10.3837,0.423,0.601,0.48,2002-12-11,1.7598,0.6,0.6
A,ok,,23.53,,,48.52,0.0,0.0,12.8359,12.8359,0.572,0.712,0.48,2003-02-12,2.0957,0.0,0.7
B,ok,,23.53,7.53,2009-03-09,49.51,0.642,0.162,15.145,15.787,0.572,0.712,0.48,2003-02-12,2.1844,0.0,0.7
C1,ok,,23.53,1.617,2008-11-19,43.21,0.642,0.162,15.145,15.787,0.572,0.712,0.48,2003-02-12,2.1844,0.0,0.7
C2,ok,,23.53,1.617,2008-11-19,44.58,0.5609,0.1409,12.0324,12.5933,0.458,0.688,0.48,2003-02-12,1.8926,0.2,0.7
A,ok,,23.53,,,48.59,0.0,0.0,9.4378,9.4378,0.463,0.614,0.48,2003-02-12,1.9217,0.2,0.6
B,ok,,23.53,7.597,2009-03-09,49.59,0.642,0.162,11.1675,11.8095,0.463,0.614,0.48,2003-02-12,1.9966,0.2,0.6
C1,ok,,23.53,1.617,2008-11-19,43.72,0.642,0.162,11.1675,11.8095,0.463,0.614,0.48,2003-02-12,1.9966,0.2,0.6
C2,ok,,23.53,1.617,2008-11-19,44.63,0.5609,0.1409,9.7979,10.3588,0.458,0.602,0.48,2003-02-12,1.8482,0.4,0.6
A,ok,,23.35,,,48.92,0.0,0.0,11.8249,11.8249,0.558,0.714,0.48,2003-04-16,1.9565,0.0,0.7
B,ok,,23.35,8.254,2009-04-20,49.92,0.6397,0.1597,14.069,14.7087,0.558,0.714,0.48,2003-04-16,2.0392,0.0,0.7
C1,ok,,23.35,1.606,2008-11-19,41.36,0.6397,0.1597,14.069,14.7087,0.558,0.714,0.48,2003-04-16,2.0392,0.0,0.7
C2,ok,,23.35,1.606,2008-11-19,41.36,0.6099,0.1499,12.7599,13.3698,0.5,0.706,0.48,2003-04-16,1.8548,0.0,0.7
A,ok,,23.35,,,48.93,0.0,0.0,8.7514,8.7514,0.448,0.617,0.48,2003-04-16,1.8073,0.4,0.6
B,ok,,23.35,8.196,2009-04-20,49.93,0.6397,0.1597,10.435,11.0747,0.448,0.617,0.48,2003-04-16,1.8772,0.4,0.6
C1,ok,,23.35,1.606,2008-11-19,42.34,0.6397,0.1597,10.435,11.0747,0.448,0.617,0.48,2003-04-16,1.8772,0.4,0.6
C2,ok,,23.35,1.606,2008-11-19,42.34,0.6099,0.1499,9.8546,10.4645,0.448,0.613,0.48,2003-04-16,1.7833,0.4,0.6
A,ok,,23.18,,,43.81,0.0,0.0,10.0959,10.0959,0.548,0.711,0.48,2003-06-18,1.7364,0.0,0.7
B,ok,,23.18,7.488,2009-03-09,48.6,0.6374,0.1574,12.2447,12.8821,0.548,0.711,0.48,2003-06-18,1.8174,0.0,0.7
C1,ok,,23.18,1.613,2008-11-18,35.86,0.6374,0.1574,12.2447,12.8821,0.548,0.711,0.48,2003-06-18,1.8174,0.0,0.7
C2,ok,,23.18,1.613,2008-11-18,35.86,0.5563,0.1363,10.5581,11.1143,0.467,0.686,0.48,2003-06-18,1.6565,0.7,0.7
A,ok,,23.18,,,45.17,0.0,0.0,7.5639,7.5639,0.438,0.613,0.48,2003-06-18,1.6188,0.5,0.6
B,ok,,23.18,7.501,2011-08-19,48.8,0.6374,0.1574,9.1758,9.8131,0.438,0.613,0.48,2003-06-18,1.6866,0.5,0.6
C1,ok,,23.18,1.613,2008-11-18,37.46,0.6374,0.1574,9.1758,9.8131,0.438,0.613,0.48,2003-06-18,1.6866,0.5,0.6
C2,ok,,23.18,1.613,2008-11-18,37.46,0.5563,0.1363,8.3895,8.9458,0.438,0.601,0.48,2003-06-18,1.6028,1.2,0.6
A,ok,,23.01,,,41.77,0.0,0.0,9.5807,9.5807,0.559,0.712,0.48,2003-08-20,1.7376,0.0,0.7
B,ok,,23.01,7.202,2009-03-09,46.57,0.6351,0.1551,11.6996,12.3347,0.559,0.712,0.48,2003-08-20,1.8331,0.0,0.7
C1,ok,,23.01,1.619,2008-11-18,33.84,0.6351,0.1551,11.6996,12.3347,0.559,0.712,0.48,2003-08-20,1.8331,0.0,0.7
